N,g(N)
986,0
988,0
990,0
992,0
994,0
996,0
998,0
1000,0
1002,0
1004,0
1006,0
1008,0
1010,0
1012,0
1014,0
1016,0
1018,0
1020,0
1022,0
1024,0
1026,0
1028,0
1030,0
1032,0
1034,0
1036,0
1038,0
1040,0
1042,0
1044,0
1046,0
1048,0
1050,0
1052,0
1054,0
1056,0
1058,0
1060,0
1062,0
1064,0
1066,0
1068,0
1070,0
1072,0
1074,0
1076,0
1078,0
1080,0
1082,0
1084,0
1086,0
1088,0
1090,0
1092,0
1094,0
1096,0
1098,0
1100,0
1102,0
1104,0
1106,0
1108,0
1110,0
1112,0
1114,0
1116,0
1118,0
1120,0
1122,0
1124,0
1126,0
1128,0
1130,0
1132,0
1134,0
1136,0
1138,0
1140,0
1142,0
1144,0
1146,0
1148,0
1150,0
1152,0
1154,0
1156,0
1158,0
1160,0
1162,0
1164,0
1166,0
1168,0
1170,0
1172,0
1174,0
1176,0
1178,0
1180,0
1182,0
1184,0
1186,0
1188,0
1190,0
1192,0
1194,0
1196,0
1198,0
1200,0
1202,0
1204,0
1206,0
1208,0
1210,0
1212,0
1214,0
1216,0
1218,0
1220,0
1222,0
1224,0
1226,0
1228,0
1230,0
1232,0
1234,0
1236,0
1238,0
1240,0
1242,0
1244,0
1246,0
1248,0
1250,0
1252,0
1254,0
1256,0
1258,0
1260,0
1262,0
1264,0
1266,0
1268,0
1270,0
1272,0
1274,0
1276,0
1278,0
1280,0
1282,0
1284,0
1286,0
1288,0
1290,0
1292,0
1294,0
1296,0
1298,0
1300,0
1302,0
1304,0
1306,0
1308,0
1310,0
1312,0
1314,0
1316,0
1318,0
1320,0
1322,0
1324,0
1326,0
1328,0
1330,0
1332,0
1334,0
1336,0
1338,0
1340,0
1342,0
1344,0
1346,0
1348,0
1350,0
1352,0
1354,0
1356,0
1358,0
1360,0
1362,0
1364,0
1366,0
1368,0
1370,0
1372,0
1374,0
1376,0
1378,0
1380,0
1382,0
1384,0
1386,0
1388,0
1390,0
1392,0
1394,0
1396,0
1398,0
1400,0
1402,0
1404,0
1406,0
1408,0
1410,0
1412,0
1414,0
1416,0
1418,0
1420,0
1422,0
1424,0
1426,0
1428,0
1430,0
1432,0
1434,0
1436,0
1438,0
1440,0
1442,0
1444,0
1446,0
1448,0
1450,0
1452,0
1454,0
1456,0
1458,0
1460,0
1462,0
1464,0
1466,0
1468,0
1470,0
1472,0
1474,0
1476,0
1478,0
1480,0
1482,0
1484,0
1486,0
1488,0
1490,0
1492,0
1494,0
1496,0
1498,0
1500,0
1502,0
1504,0
1506,0
1508,0
1510,0
1512,0
1514,0
1516,0
1518,0
1520,0
1522,0
1524,0
1526,0
1528,0
1530,0
1532,0
1534,0
1536,0
1538,0
1540,0
1542,0
1544,0
1546,0
1548,0
1550,0
1552,0
1554,0
1556,0
1558,0
1560,0
1562,0
1564,0
1566,0
1568,0
1570,0
1572,0
1574,0
1576,0
1578,0
1580,0
1582,0
1584,0
1586,0
1588,0
1590,0
1592,0
1594,0
1596,0
1598,0
1600,0
1602,0
1604,0
1606,0
1608,0
1610,0
1612,0
1614,0
1616,0
1618,0
1620,0
1622,0
1624,0
1626,0
1628,0
1630,0
1632,0
1634,0
1636,0
1638,0
1640,0
1642,0
1644,0
1646,0
1648,0
1650,0
1652,0
1654,0
1656,0
1658,0
1660,0
1662,0
1664,0
1666,0
1668,0
1670,0
1672,0
1674,0
1676,0
1678,0
1680,0
1682,0
1684,0
1686,0
1688,0
1690,0
1692,0
1694,0
1696,0
1698,0
1700,0
1702,0
1704,0
1706,0
1708,0
1710,0
1712,0
1714,0
1716,0
1718,0
1720,0
1722,0
1724,0
1726,0
1728,0
1730,0
1732,0
1734,0
1736,0
1738,0
1740,0
1742,0
1744,0
1746,0
1748,0
1750,0
1752,0
1754,0
1756,0
1758,0
1760,0
1762,0
1764,0
1766,0
1768,0
1770,0
1772,0
1774,0
1776,0
1778,0
1780,0
1782,0
1784,0
1786,0
1788,0
1790,0
1792,0
1794,0
1796,0
1798,0
1800,0
1802,0
1804,0
1806,0
1808,0
1810,0
1812,0
1814,0
1816,0
1818,0
1820,0
1822,0
1824,0
1826,0
1828,0
1830,0
1832,0
1834,0
1836,0
1838,0
1840,0
1842,0
1844,0
1846,0
1848,0
1850,0
1852,0
1854,0
1856,0
1858,0
1860,0
1862,0
1864,0
1866,0
1868,0
1870,0
1872,0
1874,0
1876,0
1878,0
1880,0
1882,0
1884,0
1886,0
1888,0
1890,0
1892,0
1894,0
1896,0
1898,0
1900,0
1902,0
1904,0
1906,0
1908,0
1910,0
1912,0
1914,0
1916,0
1918,0
1920,0
1922,0
1924,0
1926,0
1928,0
1930,0
1932,0
1934,0
1936,0
1938,0
1940,0
1942,0
1944,0
1946,0
1948,0
1950,0
1952,0
1954,0
1956,0
1958,0
1960,0
1962,0
1964,0
1966,0
1968,0
1970,0
1972,0
1974,0
1976,0
1978,0
1980,0
1982,0
1984,0
1986,0
1988,0
1990,0
1992,0
1994,0
1996,0
1998,0
2000,0
2002,0
2004,0
2006,0
2008,0
2010,0
2012,0
2014,0
2016,0
2018,0
2020,0
2022,0
2024,0
2026,0
2028,0
2030,0
2032,0
2034,0
2036,0
2038,0
2040,0
2042,0
2044,0
2046,0
2048,0
2050,0
2052,0
2054,0
2056,0
2058,0
2060,0
2062,0
2064,0
2066,0
2068,0
2070,0
2072,0
2074,0
2076,0
2078,0
2080,0
2082,0
2084,0
2086,0
2088,0
2090,0
2092,0
2094,0
2096,0
2098,0
2100,0
2102,0
2104,0
2106,0
2108,0
2110,0
2112,0
2114,0
2116,0
2118,0
2120,0
2122,0
2124,0
2126,0
2128,0
2130,0
2132,0
2134,0
2136,0
2138,0
2140,0
2142,0
2144,0
2146,0
2148,0
2150,0
2152,0
2154,0
2156,0
2158,0
2160,0
2162,0
2164,0
2166,0
2168,0
2170,0
2172,0
2174,0
2176,0
2178,0
2180,0
2182,0
2184,0
2186,0
2188,0
2190,0
2192,0
2194,0
2196,0
2198,0
2200,0
2202,0
2204,0
2206,0
2208,0
2210,0
2212,0
2214,0
2216,0
2218,0
2220,0
2222,0
2224,0
2226,0
2228,0
2230,0
2232,0
2234,0
2236,0
2238,0
2240,0
2242,0
2244,0
2246,0
2248,0
2250,0
2252,0
2254,0
2256,0
2258,0
2260,0
2262,0
2264,0
2266,0
2268,0
2270,0
2272,0
2274,0
2276,0
2278,0
2280,0
2282,0
2284,0
2286,0
2288,0
2290,0
2292,0
2294,0
2296,0
2298,0
2300,0
2302,0
2304,0
2306,0
2308,0
2310,0
2312,0
2314,0
2316,0
2318,0
2320,0
2322,0
2324,0
2326,0
2328,0
2330,0
2332,0
2334,0
2336,0
2338,0
2340,0
2342,0
2344,0
2346,0
2348,0
2350,0
2352,0
2354,0
2356,0
2358,0
2360,0
2362,0
2364,0
2366,0
2368,0
2370,0
2372,0
2374,0
2376,0
2378,0
2380,0
2382,0
2384,0
2386,0
2388,0
2390,0
2392,0
2394,0
2396,0
2398,0
2400,0
2402,0
2404,0
2406,0
2408,0
2410,0
2412,0
2414,0
2416,0
2418,0
2420,0
2422,0
2424,0
2426,0
2428,0
2430,0
2432,0
2434,0
2436,0
2438,0
2440,0
2442,0
2444,0
2446,0
2448,0
2450,0
2452,0
2454,0
2456,0
2458,0
2460,0
2462,0
2464,0
2466,0
2468,0
2470,0
2472,0
2474,0
2476,0
2478,0
2480,0
2482,0
2484,0
2486,0
2488,0
2490,0
2492,0
2494,0
2496,0
2498,0
2500,0
2502,0
2504,0
2506,0
2508,0
2510,0
2512,0
2514,0
2516,0
2518,0
2520,0
2522,0
2524,0
2526,0
2528,0
2530,0
2532,0
2534,0
2536,0
2538,0
2540,0
2542,0
2544,0
2546,0
2548,0
2550,0
2552,0
2554,0
2556,0
2558,0
2560,0
2562,0
2564,0
2566,0
2568,0
2570,0
2572,0
2574,0
2576,0
2578,0
2580,0
2582,0
2584,0
2586,0
2588,0
2590,0
2592,0
2594,0
2596,0
2598,0
2600,0
2602,0
2604,0
2606,0
2608,0
2610,0
2612,0
2614,0
2616,0
2618,0
2620,0
2622,0
2624,0
2626,0
2628,0
2630,0
2632,0
2634,0
2636,0
2638,0
2640,0
2642,0
2644,0
2646,0
2648,0
2650,0
2652,0
2654,0
2656,0
2658,0
2660,0
2662,0
2664,0
2666,0
2668,0
2670,0
2672,0
2674,0
2676,0
2678,0
2680,0
2682,0
2684,0
2686,0
2688,0
2690,0
2692,0
2694,0
2696,0
2698,0
2700,0
2702,0
2704,0
2706,0
2708,0
2710,0
2712,0
2714,0
2716,0
2718,0
2720,0
2722,0
2724,0
2726,0
2728,0
2730,0
2732,0
2734,0
2736,0
2738,0
2740,0
2742,0
2744,0
2746,0
2748,0
2750,0
2752,0
2754,0
2756,0
2758,0
2760,0
2762,0
2764,0
2766,0
2768,0
2770,0
2772,0
2774,0
2776,0
2778,0
2780,0
2782,0
2784,0
2786,0
2788,0
2790,0
2792,0
2794,0
2796,0
2798,0
2800,0
2802,0
2804,0
2806,0
2808,0
2810,0
2812,0
2814,0
2816,0
2818,0
2820,0
2822,0
2824,0
2826,0
2828,0
2830,0
2832,0
2834,0
2836,0
2838,0
2840,0
2842,0
2844,0
2846,0
2848,0
2850,0
2852,0
2854,0
2856,0
2858,0
2860,0
2862,0
2864,0
2866,0
2868,0
2870,0
2872,0
2874,0
2876,0
2878,0
2880,0
2882,0
2884,0
2886,0
2888,0
2890,0
2892,0
2894,0
2896,0
2898,0
2900,0
2902,0
2904,0
2906,0
2908,0
2910,0
2912,0
2914,0
2916,0
2918,0
2920,0
2922,0
2924,0
2926,0
2928,0
2930,0
2932,0
2934,0
2936,0
2938,0
2940,0
2942,0
2944,0
2946,0
2948,0
2950,0
2952,0
2954,0
2956,0
2958,0
2960,0
2962,0
2964,0
2966,0
2968,0
2970,0
2972,0
2974,0
2976,0
2978,0
2980,0
2982,0
2984,0
2986,0
2988,0
2990,0
2992,0
2994,0
2996,0
2998,0
3000,0
3002,0
3004,0
3006,0
3008,0
3010,0
3012,0
3014,0
3016,0
3018,0
3020,0
3022,0
3024,0
3026,0
3028,0
3030,0
3032,0
3034,0
3036,0
3038,0
3040,0
3042,0
3044,0
3046,0
3048,0
3050,0
3052,0
3054,0
3056,0
3058,0
3060,0
3062,0
3064,0
3066,0
3068,0
3070,0
3072,0
3074,0
3076,0
3078,0
3080,0
3082,0
3084,0
3086,0
3088,0
3090,0
3092,0
3094,0
3096,0
3098,0
3100,0
3102,0
3104,0
3106,0
3108,0
3110,0
3112,0
3114,0
3116,0
3118,0
3120,0
3122,0
3124,0
3126,0
3128,0
3130,0
3132,0
3134,0
3136,0
3138,0
3140,0
3142,0
3144,0
3146,0
3148,0
3150,0
3152,0
3154,0
3156,0
3158,0
3160,0
3162,0
3164,0
3166,0
3168,0
3170,0
3172,0
3174,0
3176,0
3178,0
3180,0
3182,0
3184,0
3186,0
3188,0
3190,0
3192,0
3194,0
3196,0
3198,0
3200,0
3202,0
3204,0
3206,0
3208,0
3210,0
3212,0
3214,0
3216,0
3218,0
3220,0
3222,0
3224,0
3226,0
3228,0
3230,0
3232,0
3234,0
3236,0
3238,0
3240,0
3242,0
3244,0
3246,0
3248,0
3250,0
3252,0
3254,0
3256,0
3258,0
3260,0
3262,0
3264,0
3266,0
3268,0
3270,0
3272,0
3274,0
3276,0
3278,0
3280,0
3282,0
3284,0
3286,0
3288,0
3290,0
3292,0
3294,0
3296,0
3298,0
3300,0
3302,0
3304,0
3306,0
3308,0
3310,0
3312,0
3314,0
3316,0
3318,0
3320,0
3322,0
3324,0
3326,0
3328,0
3330,0
3332,0
3334,0
3336,0
3338,0
3340,0
3342,0
3344,0
3346,0
3348,0
3350,0
3352,0
3354,0
3356,0
3358,0
3360,0
3362,0
3364,0
3366,0
3368,0
3370,0
3372,0
3374,0
3376,0
3378,0
3380,0
3382,0
3384,0
3386,0
3388,0
3390,0
3392,0
3394,0
3396,0
3398,0
3400,0
3402,0
3404,0
3406,0
3408,0
3410,0
3412,0
3414,0
3416,0
3418,0
3420,0
3422,0
3424,0
3426,0
3428,0
3430,0
3432,0
3434,0
3436,0
3438,0
3440,0
3442,0
3444,0
3446,0
3448,0
3450,0
3452,0
3454,0
3456,0
3458,0
3460,0
3462,0
3464,0
3466,0
3468,0
3470,0
3472,0
3474,0
3476,0
3478,0
3480,0
3482,0
3484,0
3486,0
3488,0
3490,0
3492,0
3494,0
3496,0
3498,0
3500,0
3502,0
3504,0
3506,0
3508,0
3510,0
3512,0
3514,0
3516,0
3518,0
3520,0
3522,0
3524,0
3526,0
3528,0
3530,0
3532,0
3534,0
3536,0
3538,0
3540,0
3542,0
3544,0
3546,0
3548,0
3550,0
3552,0
3554,0
3556,0
3558,0
3560,0
3562,0
3564,0
3566,0
3568,0
3570,0
3572,0
3574,0
3576,0
3578,0
3580,0
3582,0
3584,0
3586,0
3588,0
3590,0
3592,0
3594,0
3596,0
3598,0
3600,0
3602,0
3604,0
3606,0
3608,0
3610,0
3612,0
3614,0
3616,0
3618,0
3620,0
3622,0
3624,0
3626,0
3628,0
3630,0
3632,0
3634,0
3636,0
3638,0
3640,0
3642,0
3644,0
3646,0
3648,0
3650,0
3652,0
3654,0
3656,0
3658,0
3660,0
3662,0
3664,0
3666,0
3668,0
3670,0
3672,0
3674,0
3676,0
3678,0
3680,0
3682,0
3684,0
3686,0
3688,0
3690,0
3692,0
3694,0
3696,0
3698,0
3700,0
3702,0
3704,0
3706,0
3708,0
3710,0
3712,0
3714,0
3716,0
3718,0
3720,0
3722,0
3724,0
3726,0
3728,0
3730,0
3732,0
3734,0
3736,0
3738,0
3740,0
3742,0
3744,0
3746,0
3748,0
3750,0
3752,0
3754,0
3756,0
3758,0
3760,0
3762,0
3764,0
3766,0
3768,0
3770,0
3772,0
3774,0
3776,0
3778,0
3780,0
3782,0
3784,0
3786,0
3788,0
3790,0
3792,0
3794,0
3796,0
3798,0
3800,0
3802,0
3804,0
3806,0
3808,0
3810,0
3812,0
3814,0
3816,0
3818,0
3820,0
3822,0
3824,0
3826,0
3828,0
3830,0
3832,0
3834,0
3836,0
3838,0
3840,0
3842,0
3844,0
3846,0
3848,0
3850,0
3852,0
3854,0
3856,0
3858,0
3860,0
3862,0
3864,0
3866,0
3868,0
3870,0
3872,0
3874,0
3876,0
3878,0
3880,0
3882,0
3884,0
3886,0
3888,0
3890,0
3892,0
3894,0
3896,0
3898,0
3900,0
3902,0
3904,0
3906,0
3908,0
3910,0
3912,0
3914,0
3916,0
3918,0
3920,0
3922,0
3924,0
3926,0
3928,0
3930,0
3932,0
3934,0
3936,0
3938,0
3940,0
3942,0
3944,0
3946,0
3948,0
3950,0
3952,0
3954,0
3956,0
3958,0
3960,0
3962,0
3964,0
3966,0
3968,0
3970,0
3972,0
3974,0
3976,0
3978,0
3980,0
3982,0
3984,0
3986,0
3988,0
3990,0
3992,0
3994,0
3996,0
3998,0
4000,0
4002,0
4004,0
4006,0
4008,0
4010,0
4012,0
4014,0
4016,0
4018,0
4020,0
4022,0
4024,0
4026,0
4028,0
4030,0
4032,0
4034,0
4036,0
4038,0
4040,0
4042,0
4044,0
4046,0
4048,0
4050,0
4052,0
4054,0
4056,0
4058,0
4060,0
4062,0
4064,0
4066,0
4068,0
4070,0
4072,0
4074,0
4076,0
4078,0
4080,0
4082,0
4084,0
4086,0
4088,0
4090,0
4092,0
4094,0
4096,0
4098,0
4100,0
4102,0
4104,0
4106,0
4108,0
4110,0
4112,0
4114,0
4116,0
4118,0
4120,0
4122,0
4124,0
4126,0
4128,0
4130,0
4132,0
4134,0
4136,0
4138,0
4140,0
4142,0
4144,0
4146,0
4148,0
4150,0
4152,0
4154,0
4156,0
4158,0
4160,0
4162,0
4164,0
4166,0
4168,0
4170,0
4172,0
4174,0
4176,0
4178,0
4180,0
4182,0
4184,0
4186,0
4188,0
4190,0
4192,0
4194,0
4196,0
4198,0
4200,0
4202,0
4204,0
4206,0
4208,0
4210,0
4212,0
4214,0
4216,0
4218,0
4220,0
4222,0
4224,0
4226,0
4228,0
4230,0
4232,0
4234,0
4236,0
4238,0
4240,0
4242,0
4244,0
4246,0
4248,0
4250,0
4252,0
4254,0
4256,0
4258,0
4260,0
4262,0
4264,0
4266,0
4268,0
4270,0
4272,0
4274,0
4276,0
4278,0
4280,0
4282,0
4284,0
4286,0
4288,0
4290,0
4292,0
4294,0
4296,0
4298,0
4300,0
4302,0
4304,0
4306,0
4308,0
4310,0
4312,0
4314,0
4316,0
4318,0
4320,0
4322,0
4324,0
4326,0
4328,0
4330,0
4332,0
4334,0
4336,0
4338,0
4340,0
4342,0
4344,0
4346,0
4348,0
4350,0
4352,0
4354,0
4356,0
4358,0
4360,0
4362,0
4364,0
4366,0
4368,0
4370,0
4372,0
4374,0
4376,0
4378,0
4380,0
4382,0
4384,0
4386,0
4388,0
4390,0
4392,0
4394,0
4396,0
4398,0
4400,0
4402,0
4404,0
4406,0
4408,0
4410,0
4412,0
4414,0
4416,0
4418,0
4420,0
4422,0
4424,0
4426,0
4428,0
4430,0
4432,0
4434,0
4436,0
4438,0
4440,0
4442,0
4444,0
4446,0
4448,0
4450,0
4452,0
4454,0
4456,0
4458,0
4460,0
4462,0
4464,0
4466,0
4468,0
4470,0
4472,0
4474,0
4476,0
4478,0
4480,0
4482,0
4484,0
4486,0
4488,0
4490,0
4492,0
4494,0
4496,0
4498,0
4500,0
4502,0
4504,0
4506,0
4508,0
4510,0
4512,0
4514,0
4516,0
4518,0
4520,0
4522,0
4524,0
4526,0
4528,0
4530,0
4532,0
4534,0
4536,0
4538,0
4540,0
4542,0
4544,0
4546,0
4548,0
4550,0
4552,0
4554,0
4556,0
4558,0
4560,0
4562,0
4564,0
4566,0
4568,0
4570,0
4572,0
4574,0
4576,0
4578,0
4580,0
4582,0
4584,0
4586,0
4588,0
4590,0
4592,0
4594,0
4596,0
4598,0
4600,0
4602,0
4604,0
4606,0
4608,0
4610,0
4612,0
4614,0
4616,0
4618,0
4620,0
4622,0
4624,0
4626,0
4628,0
4630,0
4632,0
4634,0
4636,0
4638,0
4640,0
4642,0
4644,0
4646,0
4648,0
4650,0
4652,0
4654,0
4656,0
4658,0
4660,0
4662,0
4664,0
4666,0
4668,0
4670,0
4672,0
4674,0
4676,0
4678,0
4680,0
4682,0
4684,0
4686,0
4688,0
4690,0
4692,0
4694,0
4696,0
4698,0
4700,0
4702,0
4704,0
4706,0
4708,0
4710,0
4712,0
4714,0
4716,0
4718,0
4720,0
4722,0
4724,0
4726,0
4728,0
4730,0
4732,0
4734,0
4736,0
4738,0
4740,0
4742,0
4744,0
4746,0
4748,0
4750,0
4752,0
4754,0
4756,0
4758,0
4760,0
4762,0
4764,0
4766,0
4768,0
4770,0
4772,0
4774,0
4776,0
4778,0
4780,0
4782,0
4784,0
4786,0
4788,0
4790,0
4792,0
4794,0
4796,0
4798,0
4800,0
4802,0
4804,0
4806,0
4808,0
4810,0
4812,0
4814,0
4816,0
4818,0
4820,0
4822,0
4824,0
4826,0
4828,0
4830,0
4832,0
4834,0
4836,0
4838,0
4840,0
4842,0
4844,0
4846,0
4848,0
4850,0
4852,0
4854,0
4856,0
4858,0
4860,0
4862,0
4864,0
4866,0
4868,0
4870,0
4872,0
4874,0
4876,0
4878,0
4880,0
4882,0
4884,0
4886,0
4888,0
4890,0
4892,0
4894,0
4896,0
4898,0
4900,0
4902,0
4904,0
4906,0
4908,0
4910,0
4912,0
4914,0
4916,0
4918,0
4920,0
4922,0
4924,0
4926,0
4928,0
4930,0
4932,0
4934,0
4936,0
4938,0
4940,0
4942,0
4944,0
4946,0
4948,0
4950,0
4952,0
4954,0
4956,0
4958,0
4960,0
4962,0
4964,0
4966,0
4968,0
4970,0
4972,0
4974,0
4976,0
4978,0
4980,0
4982,0
4984,0
4986,0
4988,0
4990,0
4992,0
4994,0
4996,0
4998,0
5000,0
5002,0
5004,0
5006,0
5008,0
5010,0
5012,0
5014,0
5016,0
5018,0
5020,0
5022,0
5024,0
5026,0
5028,0
5030,0
5032,0
5034,0
5036,0
5038,0
5040,0
5042,0
5044,0
5046,0
5048,0
5050,0
5052,0
5054,0
5056,0
5058,0
5060,0
5062,0
5064,0
5066,0
5068,0
5070,0
5072,0
5074,0
5076,0
5078,0
5080,0
5082,0
5084,0
5086,0
5088,0
5090,0
5092,0
5094,0
5096,0
5098,0
5100,0
5102,0
5104,0
5106,0
5108,0
5110,0
5112,0
5114,0
5116,0
5118,0
5120,0
5122,0
5124,0
5126,0
5128,0
5130,0
5132,0
5134,0
5136,0
5138,0
5140,0
5142,0
5144,0
5146,0
5148,0
5150,0
5152,0
5154,0
5156,0
5158,0
5160,0
5162,0
5164,0
5166,0
5168,0
5170,0
5172,0
5174,0
5176,0
5178,0
5180,0
5182,0
5184,0
5186,0
5188,0
5190,0
5192,0
5194,0
5196,0
5198,0
5200,0
5202,0
5204,0
5206,0
5208,0
5210,0
5212,0
5214,0
5216,0
5218,0
5220,0
5222,0
5224,0
5226,0
5228,0
5230,0
5232,0
5234,0
5236,0
5238,0
5240,0
5242,0
5244,0
5246,0
5248,0
5250,0
5252,0
5254,0
5256,0
5258,0
5260,0
5262,0
5264,0
5266,0
5268,0
5270,0
5272,0
5274,0
5276,0
5278,0
5280,0
5282,0
5284,0
5286,0
5288,0
5290,0
5292,0
5294,0
5296,0
5298,0
5300,0
5302,0
5304,0
5306,0
5308,0
5310,0
5312,0
5314,0
5316,0
5318,0
5320,0
5322,0
5324,0
5326,0
5328,0
5330,0
5332,0
5334,0
5336,0
5338,0
5340,0
5342,0
5344,0
5346,0
5348,0
5350,0
5352,0
5354,0
5356,0
5358,0
5360,0
5362,0
5364,0
5366,0
5368,0
5370,0
5372,0
5374,0
5376,0
5378,0
5380,0
5382,0
5384,0
5386,0
5388,0
5390,0
5392,0
5394,0
5396,0
5398,0
5400,0
5402,0
5404,0
5406,0
5408,0
5410,0
5412,0
5414,0
5416,0
5418,0
5420,0
5422,0
5424,0
5426,0
5428,0
5430,0
5432,0
5434,0
5436,0
5438,0
5440,0
5442,0
5444,0
5446,0
5448,0
5450,0
5452,0
5454,0
5456,0
5458,0
5460,0
5462,0
5464,0
5466,0
5468,0
5470,0
5472,0
5474,0
5476,0
5478,0
5480,0
5482,0
5484,0
5486,0
5488,0
5490,0
5492,0
5494,0
5496,0
5498,0
5500,0
5502,0
5504,0
5506,0
5508,0
5510,0
5512,0
5514,0
5516,0
5518,0
5520,0
5522,0
5524,0
5526,0
5528,0
5530,0
5532,0
5534,0
5536,0
5538,0
5540,0
5542,0
5544,0
5546,0
5548,0
5550,0
5552,0
5554,0
5556,0
5558,0
5560,0
5562,0
5564,0
5566,0
5568,0
5570,0
5572,0
5574,0
5576,0
5578,0
5580,0
5582,0
5584,0
5586,0
5588,0
5590,0
5592,0
5594,0
5596,0
5598,0
5600,0
5602,0
5604,0
5606,0
5608,0
5610,0
5612,0
5614,0
5616,0
5618,0
5620,0
5622,0
5624,0
5626,0
5628,0
5630,0
5632,0
5634,0
5636,0
5638,0
5640,0
5642,0
5644,0
5646,0
5648,0
5650,0
5652,0
5654,0
5656,0
5658,0
5660,0
5662,0
5664,0
5666,0
5668,0
5670,0
5672,0
5674,0
5676,0
5678,0
5680,0
5682,0
5684,0
5686,0
5688,0
5690,0
5692,0
5694,0
5696,0
5698,0
5700,0
5702,0
5704,0
5706,0
5708,0
5710,0
5712,0
5714,0
5716,0
5718,0
5720,0
5722,0
5724,0
5726,0
5728,0
5730,0
5732,0
5734,0
5736,0
5738,0
5740,0
5742,0
5744,0
5746,0
5748,0
5750,0
5752,0
5754,0
5756,0
5758,0
5760,0
5762,0
5764,0
5766,0
5768,0
5770,0
5772,0
5774,0
5776,0
5778,0
5780,0
5782,0
5784,0
5786,0
5788,0
5790,0
5792,0
5794,0
